product_id,proper_name,proper_name_f,common_name,common_name_f,potency_amount,potency_unit_of_measure,potency_unit_of_measure_f,potency_constituent,quantity,quantity_minimum,quantity_maximum,quantity_unit_of_measure,quantity_unit_of_measure_f,ratio_numerator,ratio_denominator,dried_herb_equivalent,dhe_unit_of_measure,dhe_unit_of_measure_f,extract_type_desc,extract_type_desc_f,source_material,source_material_f
1000,Serenoa repens,Serenoa repens,,,85.0,percent,Pour cent,"free fatty acids, esters and sterols",160.0,,,milligrams,milligramme,,,,,,,,, 
1000,Serenoa repens,Serenoa repens,,,95.0,percent,Pour cent,"free fatty acids, ester and sterols",,,,,,,,,,,,,, 
10000,Zea mays,Zea mays,,,,,,,1.0,,,ml,ml,1.0,3.0,,g,g,,,, 
100000,Selenium,Sélénium,Selenium,Selenium,,,,,50.0,,,micrograms,microgrammes,,,,,,,,Selenium hydrolyzed vegetable protein (HVP) chelate,Produit de chélation de sélénium et de protéine végétale hydrolysée (PVH) 
100001,DL-alpha-Lipoic acid,Acide DL-alpha-lipoïque,DL-alpha-Lipoic acid,Acide DL-alpha-lipoique,,,,,200.0,,,milligrams,milligramme,,,,,,,,, 
100001,Ubiquinol,Ubiquinol,Ubiquinol,Ubiquinol,,,,,100.0,,,milligrams,milligramme,,,,,,,,, 
100002,Carbamide,Carbamide,Urea,Uree,,,,,18.0,,,%,%,,,,,,,,, 
100003,DL-alpha-Lipoic acid,Acide DL-alpha-lipoïque,DL-alpha-Lipoic acid,Acide DL-alpha-lipoique,,,,,150.0,,,mg,mg,,,,,,,,DL-alpha-Lipoic acid,Acide DL-alpha-lipoÏque 
100003,Ubiquinol,Ubiquinol,Ubiquinol,Ubiquinol,,,,,100.0,,,mg,mg,,,,,,,,Ubiquinol,Ubiquinol 
100004,Carbamide,Carbamide,Urea,Uree,,,,,10.0,,,%,%,,,,,,,,, 
100005,Zinc,Zinc,Zinc,Zinc,,,,,25.0,,,mg,mg,,,,,,,,Zinc Hydrolyzed vegetable protein (HVP) chelate,Produit de chélation de zinc et de protéine végétale hydrolysée (PVH) 
100006,2-Amino-2-deoxy-D-glucose sulfate,Sulfate de 2-Amino-2-désoxy-D-glucose,Glucosamine sulfate,Sulfate de glucosamine,,,,,1500.0,,,mg,mg,,,,,,,,Crab exoskeleton,Exosquelette de crabe 
